Segmento,Nome Produto,Marca,Menções,Preço/L,Dose/ha,Custo/ha,Classif. Dose,Classif. Preço,Reconhec. Mercado,Reconhec. Consultor,Composição,Estágio de Uso,Classificação Final,BU,Regional
Vegetativo,Starter Mn Platinun,,11.0,15.66,1.7727272727272727,25.75909090909091,Moderada,Baixo,Alto,Muito recomendado,Apenas Nutricional,Consolidado,Líder,BU3,Leste
Vegetativo,Cerrado,,6.0,13.25,2.0,27.75,Moderada,Baixo,Médio,Pouco recomendado,Apenas Nutricional,Entrada,Potencial,BU3,Leste
Vegetativo,Concorde , ,6.0,35.4,1.25,42.06666666666667,Moderada,Alto,Alto,Muito recomendado,Apenas Nutricional,Consolidado,Líder,BU3,Leste
Vegetativo,Speed (kg),,5.0,15.0,1.5,22.5,Moderada,Baixo,baixo,Sem recomendação,Apenas Nutricional,Intermediário ,Baixo Potencial,BU3,Leste
Vegetativo,Puma ,,3.0,39.0,1.9166666666666667,71.58333333333333,Moderada,Muito Alto,baixo,Sem recomendação,Apenas Nutricional,Intermediário ,Potencial,BU1,PR/SC/PY-LATAM
Vegetativo,SOJA PLUS,,3.0,37.333333333333336,1.1666666666666667,40.333333333333336,Moderada,Alto,Médio,Sem recomendação,Parcialmente Balanceada,Consolidado,Alto Potencial,BU1,PR/SC/PY-LATAM
Vegetativo,Active ,,2.0,52.0,1.0,52.0,Moderada,Muito Alto,baixo,Sem recomendação,Parcialmente Balanceada,Entrada,Baixo Potencial,BU1,PR/SC/PY-LATAM
Vegetativo,DaCafe ,,2.0,17.5,3.5,61.5,Alta,Muito Alto,Médio,Pouco recomendado,Apenas Nutricional,Intermediário ,Potencial,BU3,Leste
Vegetativo,Fertileader ,,2.0,120.0,1.0,120.0,Moderada,Elevado,Alto,Sem recomendação,Parcialmente Balanceada,Consolidado,Preço Poribitivo,BU3,Leste
Vegetativo,Glutamix ,,2.0,40.5,1.25,49.0,Moderada,Alto,Médio,Pouco recomendado,Parcialmente Balanceada,Consolidado,Potencial,BU3,Leste
Florescimento,Hold ,Stoller,13.0,69.5,0.5,34.25,Muito Baixa,Moderado,Alto,Muito recomendado,Apenas Nutricional,Intermediário,Líder,BU3,Leste
Florescimento,MS Florada ,Ubyfol,13.0,26.62,1,26.62,Baixa,Moderado,Alto,Muito recomendado,Apenas Nutricional,Consolidado,Líder,BU3,Leste
Florescimento,CAB,-,5.0,27.4,3,82.2,Moderada,Alto,Alto,Pouco recomendado,Apenas Nutricional,Intermediário,Seguidor,BU1,PR/SC/PY-LATAM
Florescimento,Florada,Quimifol,5.0,27,1,27,Baixa,Moderado,Médio,Pouco recomendado,Apenas Nutricional,Entrada,Potencial,BU3,Leste
Florescimento,Exion peg +,Kimberlit,5.0,45.8,2.5,22.9,Muito Baixa,Moderado,Médio,Pouco recomendado,Apenas Nutricional,Entrada,Potencial,BU3,Leste
Florescimento,Florada (kg),Union agro,2.0,19,2,38,Moderada,Moderado,Médio,Pouco recomendado,Apenas Nutricional,Entrada,Potencial,BU3,Leste
Florescimento,Profol Produtividade (kg),ICL,2.0,14.5,2,29,Moderada,Moderado,Médio,Pouco recomendado,Apenas Nutricional,Entrada,Seguidor,BU3,Leste
